Rank,Name,"Wealth
Change",Net worth (USD),Company,Sources of wealth
1,Gautam Adani,0,146.8 billion,Adani Group,"Commodities, ports, power generation and transmission, real estate, defense, airport and data centre"
2,Mukesh Ambani,0,94.3 billion,Reliance Industries,"Petrochemicals, telecom, retail"
3,Shiv Nadar,0,28.7 billion,HCL Technologies,IT services and consulting
4,Cyrus Poonawalla,0,24.3 billion,Serum Institute of India,Vaccines
5,Radhakishan Damani,0,20.0 billion,"Avenue Supermarts, DMart","Investments, retail"
6,Lakshmi Mittal,0,17.9 billion,ArcelorMittal,Steel
7,Savitri Jindal,0,17.7 billion,"JSW Group
Jindal Steel & Power","Steel, energy, cement and infrastructure"
8,Kumar Mangalam Birla,0,16.5 billion,Aditya Birla Group,"Textiles, telecom, cement"
9,Dilip Shanghvi,0,15.6 billion,Sun Pharmaceutical Industries,Pharmaceuticals
10,Pallonji Mistry,0,15 billion,Shapoorji Pallonji Group,"Construction, real estate"
11,Uday Kotak,0,14.3 billion,Kotak Mahindra Bank,Banking
11,Sunil Mittal,0,13.9 billion,Bharti Enterprises,Telecom
12,Hinduja brothers,0,12.7 billion,Hinduja Group,"Trucks, lubricants, banking, cable television, etc"
13,Azim Premji,0,9.8 billion,Wipro Group,IT services and consulting
14,Kushal Pal Singh,0,8.8 billion,DLF,Real estate
15,Bajaj brothers,0,8.6 billion,Bajaj Group,"Auto, finance, electrical, steel"
16,Murali Divi & family,0,8.1 billion,Divi's Laboratories,Pharmaceuticals
17,Gopikishan Damani,0,7.8 billion,"Avenue Supermarts, DMart","Investments, retail"
18,Ashwin Dani,0,7.7 billion,Asian Paints,Paints
19,Hasmukh Chudgar & family,0,6.8 billion,Intas Pharmaceuticals,Pharmaceuticals
20,Benu Gopal Bangur,0,6.7 billion,Shree Cement,Cement
21,Mahendra Choksi & family,0,5.9 billion,Asian Paints,Paints
22,Rakesh Jhunjhunwala,0,5.8 billion,Rare Enterprises,Investments
23,M. A. Yusuff Ali,0,5.4 billion,LuLu Group International,Retail
24,Ravi Jaipuria,0,4.9 billion,RJ Corp,Fast food
25,Kapil & Rahul Bhatia,0,4.9 billion,InterGlobe Enterprises,Airlines
